scenario,uncertainty,method,outcome,count,total,rate,wilson_low,wilson_high
lane_change,0.5,deterministic_stl,success,1,1,1.0,0.2065432914738929,1.0
lane_change,0.5,deterministic_stl,collision,0,1,0.0,-5.551115123125783e-17,0.7934567085261071
lane_change,0.5,deterministic_stl,road_violation,0,1,0.0,-5.551115123125783e-17,0.7934567085261071
lane_change,0.5,deterministic_stl,deadline_missed,0,1,0.0,-5.551115123125783e-17,0.7934567085261071
lane_change,0.5,deterministic_stl,planning_failure,0,1,0.0,-5.551115123125783e-17,0.7934567085261071
lane_change,0.5,deterministic_stl,step_limit,0,1,0.0,-5.551115123125783e-17,0.7934567085261071
lane_change,0.5,pdstl,success,1,1,1.0,0.2065432914738929,1.0
lane_change,0.5,pdstl,collision,0,1,0.0,-5.551115123125783e-17,0.7934567085261071
lane_change,0.5,pdstl,road_violation,0,1,0.0,-5.551115123125783e-17,0.7934567085261071
lane_change,0.5,pdstl,deadline_missed,0,1,0.0,-5.551115123125783e-17,0.7934567085261071
lane_change,0.5,pdstl,planning_failure,0,1,0.0,-5.551115123125783e-17,0.7934567085261071
lane_change,0.5,pdstl,step_limit,0,1,0.0,-5.551115123125783e-17,0.7934567085261071
lane_change,1.0,deterministic_stl,success,1,1,1.0,0.2065432914738929,1.0
lane_change,1.0,deterministic_stl,collision,0,1,0.0,-5.551115123125783e-17,0.7934567085261071
lane_change,1.0,deterministic_stl,road_violation,0,1,0.0,-5.551115123125783e-17,0.7934567085261071
lane_change,1.0,deterministic_stl,deadline_missed,0,1,0.0,-5.551115123125783e-17,0.7934567085261071
lane_change,1.0,deterministic_stl,planning_failure,0,1,0.0,-5.551115123125783e-17,0.7934567085261071
lane_change,1.0,deterministic_stl,step_limit,0,1,0.0,-5.551115123125783e-17,0.7934567085261071
lane_change,1.0,pdstl,success,1,1,1.0,0.2065432914738929,1.0
lane_change,1.0,pdstl,collision,0,1,0.0,-5.551115123125783e-17,0.7934567085261071
lane_change,1.0,pdstl,road_violation,0,1,0.0,-5.551115123125783e-17,0.7934567085261071
lane_change,1.0,pdstl,deadline_missed,0,1,0.0,-5.551115123125783e-17,0.7934567085261071
lane_change,1.0,pdstl,planning_failure,0,1,0.0,-5.551115123125783e-17,0.7934567085261071
lane_change,1.0,pdstl,step_limit,0,1,0.0,-5.551115123125783e-17,0.7934567085261071
lane_change,2.0,deterministic_stl,success,1,1,1.0,0.2065432914738929,1.0
